time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,,,
148,136210,223776,1,,,0.01,96887,-474.2426758,3.00E-05,2740.674316,,,
,,224000,,35.01884303,485,0.01,96999,-452.085968,3.00E-05,2871.318848,,,
152,137271,229824,1,,,0.01,99911,-482.7965698,3.00E-05,2313.412109,,,
,,232000,,27.75816317,485,0.01,100999,-479.5172729,3.00E-05,2622.095703,,,
156,139015,235872,1,,,0.01,102935,-486.0333862,3.00E-05,2010.572266,,,
,,240000,,28.35421934,485,0.01,104999,-506.7605591,3.00E-05,2439.068848,,,
160,140059,241920,1,,,0.01,105959,-504.1159363,3.00E-05,2060.291016,,,
164,141545,247968,1,,,0.01,108983,-591.8482666,3.00E-05,2251.37793,,,
,,248000,,59.20515232,485,0.01,108999,-568.7299194,3.00E-05,2256.699707,,,
168,142664,254016,1,,,0.01,112007,-568.2304077,3.00E-05,1853.671631,,,
,,256000,,43.54895503,485,0.01,112999,-611.0957031,3.00E-05,1942.893799,,,
172,148210,260064,1,,,0.01,115031,-607.9890747,3.00E-05,1949.988037,,,
,,264000,,15.75767722,485,0.01,116999,-706.649292,3.00E-05,2426.917969,,,
176,149310,266112,1,,,0.01,118055,-697.7994385,3.00E-05,2676.928955,,,
,,272000,,9.076780899,485,0.01,120999,-738.8984375,3.00E-05,2116.999756,,,
180,150459,272160,1,,,0.01,121079,-775.8905029,3.00E-05,1753.538086,,,
184,151284,278208,1,,,0.01,124103,-763.7781982,3.00E-05,2552.541016,,,
,,280000,,23.54256555,485,0.01,124999,-793.1995239,3.00E-05,2152.685059,,,
188,152475,284256,1,,,0.01,127127,-861.6019897,3.00E-05,2285.708008,,,
,,288000,,29.74727593,485,0.01,128999,-864.1190186,3.00E-05,2122.099365,,,
192,154746,290304,1,,,0.01,130151,-859.0623169,3.00E-05,2155.330566,,,
,,296000,,-5.468927728,485,0.01,132999,-880.2399902,3.00E-05,2400.329102,,,
